epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
110,10052.5,0.74325,0.4386,0.97442,0.94255,0.93892,0.97375,0.71856,0.84739,0.46227,1.09232,0.0046045,0.0046045,0.0046045
111,10327.4,0.74269,0.43996,0.97643,0.94094,0.93928,0.9737,0.71832,0.84695,0.46133,1.09183,0.004555,0.004555,0.004555
112,10603.4,0.73718,0.43445,0.97146,0.94312,0.93776,0.97376,0.718,0.846,0.46097,1.09099,0.0045055,0.0045055,0.0045055
113,10877.9,0.73225,0.43346,0.97007,0.94236,0.93721,0.97349,0.71867,0.84551,0.46081,1.09152,0.004456,0.004456,0.004456
114,11152.3,0.73911,0.43636,0.97345,0.94299,0.93829,0.97397,0.71907,0.84449,0.4596,1.09135,0.0044065,0.0044065,0.0044065
115,11425.7,0.73766,0.43476,0.97243,0.94291,0.93945,0.97407,0.71914,0.8442,0.45851,1.09199,0.004357,0.004357,0.004357
116,11700.7,0.72958,0.42833,0.96784,0.94334,0.93993,0.97419,0.71896,0.84393,0.45807,1.09236,0.0043075,0.0043075,0.0043075
117,11960.1,0.72859,0.43079,0.96839,0.94309,0.94025,0.974,0.71863,0.84356,0.45776,1.09313,0.004258,0.004258,0.004258
118,12235.2,0.73531,0.43399,0.97256,0.94502,0.93931,0.97506,0.71945,0.84351,0.45782,1.09367,0.0042085,0.0042085,0.0042085
119,12513.4,0.74574,0.4397,0.97828,0.94502,0.93762,0.9749,0.71936,0.8432,0.45773,1.09364,0.004159,0.004159,0.004159
120,12792.7,0.7383,0.43545,0.97244,0.94439,0.93928,0.97483,0.71885,0.84332,0.4578,1.09382,0.0041095,0.0041095,0.0041095
121,13070.8,0.74209,0.43681,0.97734,0.94675,0.93788,0.97514,0.71978,0.84311,0.45798,1.09371,0.00406,0.00406,0.00406
122,13349.6,0.74484,0.43934,0.97584,0.94692,0.93726,0.974,0.71934,0.84267,0.45799,1.09385,0.0040105,0.0040105,0.0040105
123,13627.2,0.73312,0.43471,0.97228,0.9471,0.93564,0.9747,0.71955,0.84203,0.45784,1.09326,0.003961,0.003961,0.003961
124,13904.2,0.73481,0.43563,0.97448,0.94541,0.93729,0.97373,0.7202,0.84157,0.45757,1.0929,0.0039115,0.0039115,0.0039115
125,14181.7,0.73571,0.43394,0.97241,0.94577,0.93658,0.97356,0.7206,0.84175,0.458,1.09311,0.003862,0.003862,0.003862
126,14458.2,0.72779,0.43209,0.97005,0.94728,0.93472,0.97354,0.72033,0.84205,0.45796,1.09289,0.0038125,0.0038125,0.0038125
127,14735.2,0.73075,0.42979,0.96748,0.94707,0.93639,0.97368,0.72067,0.84184,0.45788,1.09319,0.003763,0.003763,0.003763
128,15012.6,0.72806,0.4313,0.96897,0.94747,0.93576,0.97364,0.72121,0.84164,0.45772,1.09314,0.0037135,0.0037135,0.0037135
129,15287.1,0.72663,0.42818,0.96882,0.94699,0.93548,0.97366,0.72044,0.84143,0.45747,1.09343,0.003664,0.003664,0.003664
130,15563,0.72481,0.42671,0.96691,0.94718,0.93477,0.97362,0.72052,0.84098,0.45708,1.09338,0.0036145,0.0036145,0.0036145
131,15839.1,0.72056,0.42569,0.96925,0.94693,0.93604,0.97388,0.72062,0.84029,0.45606,1.09287,0.003565,0.003565,0.003565
132,16113.6,0.71987,0.42498,0.96411,0.94512,0.9377,0.97391,0.7206,0.84058,0.45533,1.09331,0.0035155,0.0035155,0.0035155
133,16385.5,0.71902,0.42519,0.96518,0.94352,0.93901,0.97388,0.72101,0.84032,0.45558,1.09303,0.003466,0.003466,0.003466
134,16656.8,0.71858,0.42195,0.96483,0.94354,0.93982,0.97376,0.72099,0.84032,0.45557,1.09324,0.0034165,0.0034165,0.0034165
135,16929.4,0.71001,0.42189,0.96045,0.94179,0.94084,0.97368,0.72068,0.84031,0.45586,1.09337,0.003367,0.003367,0.003367
136,17200.7,0.71377,0.42427,0.96276,0.94205,0.93993,0.97372,0.72054,0.83949,0.45552,1.09292,0.0033175,0.0033175,0.0033175
137,17471.4,0.71112,0.41849,0.96209,0.94171,0.94104,0.97358,0.72134,0.83938,0.4559,1.09317,0.003268,0.003268,0.003268
138,17745.7,0.70718,0.41872,0.96139,0.94509,0.93817,0.97338,0.72151,0.8386,0.45563,1.09267,0.0032185,0.0032185,0.0032185
139,18017.9,0.70789,0.41818,0.96214,0.94635,0.93656,0.97332,0.72109,0.83824,0.45505,1.09267,0.003169,0.003169,0.003169
140,18291.7,0.70265,0.41703,0.95738,0.94628,0.93734,0.97359,0.72178,0.83769,0.45493,1.09256,0.0031195,0.0031195,0.0031195
141,18565.9,0.69722,0.41557,0.9574,0.94601,0.93815,0.97354,0.72163,0.83708,0.45475,1.09251,0.00307,0.00307,0.00307
142,18839.1,0.69688,0.41297,0.9556,0.94676,0.93751,0.97327,0.72192,0.83686,0.4547,1.09281,0.0030205,0.0030205,0.0030205
143,19113.3,0.70041,0.41224,0.95373,0.9466,0.93761,0.97328,0.72182,0.83634,0.45426,1.09274,0.002971,0.002971,0.002971
144,19383.6,0.69697,0.41205,0.95497,0.94723,0.93781,0.97331,0.72177,0.83613,0.45411,1.09292,0.0029215,0.0029215,0.0029215
145,19656.6,0.69271,0.41028,0.95564,0.94649,0.9379,0.97327,0.72214,0.83594,0.45429,1.0932,0.002872,0.002872,0.002872
146,19927,0.69518,0.41233,0.95341,0.94684,0.93785,0.9732,0.72217,0.83579,0.45458,1.09306,0.0028225,0.0028225,0.0028225
147,20199.3,0.69206,0.40836,0.95261,0.94649,0.93838,0.9734,0.72233,0.83549,0.45464,1.09294,0.002773,0.002773,0.002773
148,20472.2,0.68757,0.40883,0.95309,0.9476,0.93841,0.9735,0.72268,0.83522,0.45482,1.09312,0.0027235,0.0027235,0.0027235
149,20748.4,0.68395,0.40788,0.95293,0.94703,0.93916,0.97359,0.72272,0.83499,0.45458,1.09347,0.002674,0.002674,0.002674
150,21020.2,0.68972,0.40971,0.95286,0.94837,0.93787,0.97364,0.72286,0.83467,0.45487,1.09334,0.0026245,0.0026245,0.0026245
151,21293.3,0.68265,0.40722,0.94982,0.94662,0.93992,0.97386,0.72292,0.83453,0.45488,1.09356,0.002575,0.002575,0.002575
152,21568.3,0.68664,0.40868,0.95271,0.94854,0.93761,0.97378,0.72285,0.83453,0.45511,1.09393,0.0025255,0.0025255,0.0025255
153,21840.2,0.68554,0.40808,0.9502,0.94978,0.93592,0.97381,0.72288,0.83425,0.45495,1.09411,0.002476,0.002476,0.002476
154,22114.8,0.67773,0.40242,0.94835,0.94722,0.93887,0.97389,0.72298,0.8342,0.45527,1.0944,0.0024265,0.0024265,0.0024265
155,22388.4,0.67838,0.40466,0.94767,0.94974,0.93628,0.97385,0.72312,0.83407,0.45502,1.09465,0.002377,0.002377,0.002377
156,22663.4,0.67492,0.40131,0.94787,0.9507,0.93548,0.97377,0.72319,0.83386,0.45514,1.09471,0.0023275,0.0023275,0.0023275
157,22934.3,0.67159,0.40087,0.9435,0.95038,0.9362,0.97383,0.72306,0.83374,0.45519,1.09507,0.002278,0.002278,0.002278
158,23207,0.6735,0.40157,0.94893,0.94875,0.93782,0.97376,0.72328,0.83337,0.4548,1.09495,0.0022285,0.0022285,0.0022285
159,23479.4,0.66655,0.3984,0.94463,0.94913,0.93797,0.97376,0.72324,0.83362,0.45488,1.0952,0.002179,0.002179,0.002179
160,23753.2,0.67531,0.40186,0.94561,0.95055,0.9367,0.97394,0.72329,0.83342,0.4547,1.09511,0.0021295,0.0021295,0.0021295
161,24026.7,0.6695,0.39664,0.94463,0.94945,0.93749,0.97377,0.72335,0.83329,0.45473,1.09522,0.00208,0.00208,0.00208
162,24300,0.66463,0.39632,0.94163,0.94939,0.93785,0.97386,0.72318,0.83316,0.45463,1.09548,0.0020305,0.0020305,0.0020305
163,24574,0.66546,0.39782,0.94629,0.94909,0.93768,0.97385,0.72338,0.83306,0.45477,1.09561,0.001981,0.001981,0.001981
164,24846.9,0.66264,0.39567,0.94158,0.94854,0.93795,0.97377,0.72285,0.83285,0.45442,1.09567,0.0019315,0.0019315,0.0019315
165,25120.3,0.66166,0.3956,0.94196,0.94811,0.93863,0.97383,0.72297,0.83265,0.45432,1.09579,0.001882,0.001882,0.001882
166,25391.4,0.65911,0.39402,0.94225,0.94833,0.93796,0.97383,0.72293,0.83243,0.45441,1.09572,0.0018325,0.0018325,0.0018325
167,25664.1,0.65756,0.39356,0.94221,0.94887,0.93765,0.97376,0.72322,0.8323,0.45435,1.09592,0.001783,0.001783,0.001783
168,25936.3,0.6582,0.39366,0.94115,0.94922,0.93762,0.97371,0.72333,0.8323,0.4544,1.09629,0.0017335,0.0017335,0.0017335
169,26208.8,0.65839,0.39266,0.94023,0.95034,0.93644,0.97365,0.72338,0.83209,0.45442,1.09642,0.001684,0.001684,0.001684
170,26480.9,0.64984,0.39006,0.93634,0.95005,0.93654,0.97372,0.72326,0.8319,0.45416,1.09642,0.0016345,0.0016345,0.0016345
171,26755.4,0.65188,0.38773,0.93861,0.95068,0.93606,0.97384,0.72369,0.83172,0.45401,1.09658,0.001585,0.001585,0.001585
172,27026.9,0.65133,0.39041,0.93875,0.95113,0.93542,0.97377,0.72375,0.83173,0.45408,1.09687,0.0015355,0.0015355,0.0015355
173,27295.8,0.64671,0.38545,0.93417,0.95103,0.93542,0.97378,0.72334,0.83149,0.45403,1.09687,0.001486,0.001486,0.001486
174,27569.6,0.64874,0.3866,0.93566,0.95128,0.93501,0.97379,0.72359,0.83126,0.45398,1.09708,0.0014365,0.0014365,0.0014365
175,27841.1,0.64807,0.38792,0.93563,0.95106,0.93607,0.97385,0.72339,0.83125,0.45442,1.09732,0.001387,0.001387,0.001387
176,28113.2,0.64795,0.38629,0.93718,0.95099,0.93651,0.97369,0.72329,0.83138,0.45448,1.09769,0.0013375,0.0013375,0.0013375
177,28383.6,0.64218,0.38704,0.93607,0.95123,0.93559,0.97368,0.72365,0.83132,0.45474,1.0979,0.001288,0.001288,0.001288
178,28657.3,0.64139,0.38387,0.93489,0.95216,0.93452,0.97361,0.72374,0.83119,0.455,1.09802,0.0012385,0.0012385,0.0012385
179,28930.5,0.64159,0.38504,0.93451,0.95169,0.93399,0.97361,0.72339,0.83111,0.45521,1.098,0.001189,0.001189,0.001189
180,29203,0.6427,0.38525,0.93253,0.95147,0.93442,0.9736,0.72319,0.83105,0.45514,1.09819,0.0011395,0.0011395,0.0011395
181,29474.3,0.63587,0.38024,0.93237,0.95164,0.93438,0.97364,0.72314,0.83119,0.45565,1.09841,0.00109,0.00109,0.00109
182,29743,0.64025,0.38523,0.93229,0.9516,0.93539,0.97365,0.72332,0.83107,0.45589,1.09856,0.0010405,0.0010405,0.0010405
183,30015.9,0.63823,0.38357,0.93194,0.95166,0.93556,0.97368,0.72351,0.83107,0.45582,1.09869,0.000991,0.000991,0.000991
184,30291,0.63378,0.37858,0.93064,0.95187,0.93548,0.97361,0.72343,0.83105,0.45627,1.09887,0.0009415,0.0009415,0.0009415
